id_mascota,nombre,especie,raza,edad_anos,peso_kg,fecha_consulta,dueno_nombre,dueno_email,motivo_consulta,costo_consulta,rango_peso,especie_No_Info,especie_gato,especie_loro,especie_perro,especie_pez,años_cliente
47,canela,perro,cocker spaniel,4.0,13.7,,paulina romero,canela@mail.cl,vacunacion,18000.0,normal,False,False,False,True,False,
48,gohan,perro,labrador,2.0,29.3,,cristobal vera,gohan@gmail.com,control rutinario,25000.0,alto,False,False,False,True,False,
49,nala,gato,domestico,,3.5,,isabel rojas,nala.rojas+049@gmail.com,control post-op,30000.0,bajo,False,True,False,False,False,
50,chispas,perro,chihuahua,8.0,2.8,,amanda jimenez,chispas@gmail.com,control geriatrico,40000.0,bajo,False,False,False,True,False,
51,tita,perro,labrador,11.0,6.0,,maria castro,mascota051@vetlab.cl,revision general,50000.0,normal,False,False,False,True,False,
52,pecas,perro,rottweiler,3.0,11.6,,luis perez,mascota052@vetlab.cl,control rutinario,60000.0,normal,False,False,False,True,False,
53,coco,perro,boxer,6.0,11.1,,sebastian garrido,mascota053@vetlab.cl,control geriatrico,60000.0,normal,False,False,False,True,False,
54,nala,gato,siames,4.0,8.3,,sebastian garrido,mascota054@vetlab.cl,control post-cirugia,35000.0,normal,False,True,False,False,False,
55,puma,perro,beagle,9.0,13.0,,javiera soto,mascota055@vetlab.cl,esterilizacion,15000.0,normal,False,False,False,True,False,
56,maya,gato,mestizo,8.0,14.3,,elena saavedra,mascota056@vetlab.cl,control post-cirugia,80000.0,normal,False,True,False,False,False,
57,toby,gato,angora,12.0,14.1,,luis perez,mascota057@vetlab.cl,control geriatrico,18000.0,normal,False,True,False,False,False,
58,puma,perro,beagle,13.0,17.4,,diego leon,mascota058@vetlab.cl,control de peso,35000.0,alto,False,False,False,True,False,
59,tita,gato,angora,9.0,29.1,,sebastian garrido,mascota059@vetlab.cl,control geriatrico,50000.0,alto,False,True,False,False,False,
60,gala,perro,bulldog,11.0,25.7,,tomas munoz,mascota060@vetlab.cl,control dental,80000.0,alto,False,False,False,True,False,
61,max,gato,siames,6.0,13.1,,manuel soto,mascota061@vetlab.cl,control rutinario,25000.0,normal,False,True,False,False,False,
62,bambu,gato,angora,2.0,13.0,,tomas munoz,mascota062@vetlab.cl,control geriatrico,25000.0,normal,False,True,False,False,False,
63,chispa,gato,sphynx,2.0,,,tomas munoz,mascota063@vetlab.cl,esterilizacion,18000.0,obeso,False,True,False,False,False,
64,sasha,perro,beagle,9.0,4.3,,felipe araya,mascota064@vetlab.cl,desparasitacion,40000.0,normal,False,False,False,True,False,
65,kira,gato,mestizo,10.0,40.0,,martina lagos,mascota065@vetlab.cl,control rutinario,30000.0,obeso,False,True,False,False,False,
66,pepa,gato,persa,0.5,43.0,,No_Info,mascota066@vetlab.cl,desparasitacion,30000.0,obeso,False,True,False,False,False,
67,rocco,perro,boxer,13.0,29.3,,renata avila,mascota067@vetlab.cl,control geriatrico,60000.0,alto,False,False,False,True,False,
68,choco,perro,bulldog,12.0,41.6,,cristobal fuentes,mascota068@vetlab.cl,desparasitacion,15000.0,obeso,False,False,False,True,False,
69,No_Info,gato,bosque de noruega,3.0,4.0,,javiera soto,mascota069@vetlab.cl,esterilizacion,60000.0,normal,False,True,False,False,False,
70,bambu,perro,beagle,12.0,7.0,,manuel soto,mascota070@vetlab.cl,vacunacion,80000.0,normal,False,False,False,True,False,
71,nala,gato,mestizo,6.0,,,diego leon,mascota071@vetlab.cl,control cardiaco,50000.0,obeso,False,True,False,False,False,
72,loki,perro,pastor aleman,7.0,40.6,,constanza vidal,mascota072@vetlab.cl,control geriatrico,45000.0,obeso,False,False,False,True,False,
73,max,perro,poodle,9.0,25.6,,camila silva,mascota073@vetlab.cl,esterilizacion,60000.0,alto,False,False,False,True,False,
74,toby,perro,labrador,3.0,4.4,,sebastian garrido,mascota074@vetlab.cl,control geriatrico,15000.0,normal,False,False,False,True,False,
75,negrita,gato,persa,3.0,25.0,,maria castro,mascota075@vetlab.cl,control dental,60000.0,alto,False,True,False,False,False,
76,moka,gato,angora,1.0,5.7,,josefina ruiz,mascota076.vetlab.cl,control post-cirugia,40000.0,normal,False,True,False,False,False,
77,duna,perro,sphynx,1.0,4.1,,alvaro castillo,mascota077@vetlab.cl,control rutinario,35000.0,normal,False,False,False,True,False,
78,coco,perro,poodle,-4.8,19.9,,sergio ortiz,mascota078@vetlab.cl,control cardiaco,30000.0,alto,False,False,False,True,False,
79,toby,gato,angora,0.5,29.9,,alvaro castillo,mascota079@vetlab.cl,control cardiaco,50000.0,alto,False,True,False,False,False,
80,rex,perro,beagle,7.0,10.8,,valentina diaz,mascota080@vetlab.cl,control post-cirugia,-30000.0,normal,False,False,False,True,False,
81,puma,perro,bulldog,12.0,35.7,,ana rojas,mascota081@vetlab.cl,control post-cirugia,30000.0,alto,False,False,False,True,False,
82,bambu,gato,mestizo,3.0,43.6,,pedro fuentes,mascota082@vetlab.cl,revision general,60000.0,obeso,False,True,False,False,False,
83,lola,perro,golden retriever,8.0,41.5,,luis perez,mascota083@vetlab.cl,primera consulta,50000.0,obeso,False,False,False,True,False,
84,negrita,perro,labrador,9.0,4.5,,camila silva,mascota084@vetlab.cl,desparasitacion,25000.0,normal,False,False,False,True,False,
85,trueno,gato,persa,0.5,28.4,,maria castro,mascota085@vetlab.cl,primera consulta,40000.0,alto,False,True,False,False,False,
86,luna,gato,bengali,4.0,18.7,,constanza vidal,mascota086@vetlab.cl,esterilizacion,80000.0,alto,False,True,False,False,False,
87,canela,gato,bosque de noruega,7.0,28.5,,elena saavedra,mascota087@vetlab.cl,vacunacion,60000.0,alto,False,True,False,False,False,
88,pelusa,perro,beagle,2.0,42.1,,sergio ortiz,mascota088@vetlab.cl,control cardiaco,-15000.0,obeso,False,False,False,True,False,
89,pepa,perro,golden retriever,11.0,14.7,,valentina diaz,mascota089@vetlab.cl,control de peso,80000.0,normal,False,False,False,True,False,
90,nube,perro,mestizo,2.0,13.0,,paula morales,mascota090@vetlab.cl,control geriatrico,18000.0,normal,False,False,False,True,False,
91,pepa,perro,pastor aleman,3.0,31.4,,isidora reyes,mascota091@vetlab.cl,revision general,30000.0,alto,False,False,False,True,False,
92,lola,gato,bengali,13.0,13.5,,camila silva,mascota092@vetlab.cl,control geriatrico,15000.0,normal,False,True,False,False,False,
93,kira,gato,maine coon,11.0,20.1,,valentina diaz,mascota093@vetlab.cl,control de peso,15000.0,alto,False,True,False,False,False,
94,sasha,perro,beagle,-0.6,25.5,,martina lagos,mascota094@vetlab.cl,control rutinario,40000.0,alto,False,False,False,True,False,
95,boby,perro,labrador,3.0,31.2,,carolina vega,mascota095@vetlab.cl,control rutinario,80000.0,alto,False,False,False,True,False,
96,nube,perro,golden retriever,11.0,8.2,,matias contreras,mascota096@vetlab.cl,control post-cirugia,25000.0,normal,False,False,False,True,False,
97,duna,perro,bulldog,12.0,42.0,,ana rojas,mascota097@vetlab.cl,desparasitacion,80000.0,obeso,False,False,False,True,False,
98,nala,perro,pastor aleman,13.0,3.2,,josefina ruiz,mascota098@vetlab.cl,vacunacion,45000.0,bajo,False,False,False,True,False,
99,gala,perro,poodle,3.0,2.5,,carolina vega,mascota099@vetlab.cl,control dental,25000.0,bajo,False,False,False,True,False,
100,tita,gato,domestico,5.0,29.4,,renata avila,mascota100@vetlab.cl,vacunacion,40000.0,alto,False,True,False,False,False,
101,maya,gato,siames,9.0,43.4,,matias contreras,mascota101@vetlab.cl,control dental,30000.0,obeso,False,True,False,False,False,
102,yaki,perro,beagle,-0.6,27.9,,fernanda herrera,mascota102@vetlab.cl,esterilizacion,50000.0,alto,False,False,False,True,False,
103,trueno,perro,husky,11.0,20.0,,sergio ortiz,mascota103@vetlab.cl,control dental,50000.0,alto,False,False,False,True,False,
104,pecas,perro,golden retriever,9.0,15.2,,camila silva,mascota104@vetlab.cl,control geriatrico,-25000.0,alto,False,False,False,True,False,
105,boby,perro,mestizo,6.0,31.8,,constanza vidal,mascota105@vetlab.cl,control post-cirugia,50000.0,alto,False,False,False,True,False,
106,duna,perro,poodle,9.0,26.3,,No_Info,mascota106@vetlab.cl,control post-cirugia,40000.0,alto,False,False,False,True,False,
107,pepa,perro,pastor aleman,9.0,30.0,,sergio ortiz,mascota107@vetlab.cl,control post-cirugia,45000.0,alto,False,False,False,True,False,
108,luna,gato,bosque de noruega,10.0,5.2,,ignacio rios,mascota108.vetlab.cl,control de peso,50000.0,normal,False,True,False,False,False,
109,No_Info,gato,persa,12.0,10.2,,constanza vidal,mascota109@vetlab.cl,control dental,15000.0,normal,False,True,False,False,False,
110,moka,perro,poodle,6.0,40.0,,isidora reyes,mascota110@vetlab.cl,vacunacion,60000.0,obeso,False,False,False,True,False,
111,bambu,perro,husky,10.0,31.4,,tomas munoz,mascota111@vetlab.cl,revision general,18000.0,alto,False,False,False,True,False,
112,simba,gato,angora,0.5,25.7,,josefina ruiz,mascota112@vetlab.cl,control cardiaco,18000.0,alto,False,True,False,False,False,
113,gala,gato,maine coon,9.0,15.3,,constanza vidal,mascota113@vetlab.cl,control cardiaco,45000.0,alto,False,True,False,False,False,
114,tango,gato,mestizo,7.0,12.8,,matias contreras,mascota114@vetlab.cl,desparasitacion,25000.0,normal,False,True,False,False,False,
115,bambu,gato,mestizo,7.0,4.9,,felipe araya,mascota115@vetlab.cl,revision general,30000.0,normal,False,True,False,False,False,
116,oreo,perro,pastor aleman,2.0,8.1,,nicolas torres,mascota116@vetlab.cl,control cardiaco,40000.0,normal,False,False,False,True,False,
117,toby,perro,poodle,8.0,21.8,,fernanda herrera,mascota117@vetlab.cl,control post-cirugia,15000.0,alto,False,False,False,True,False,
118,puma,perro,husky,13.0,39.8,,matias contreras,mascota118@vetlab.cl,primera consulta,60000.0,alto,False,False,False,True,False,
119,milo,gato,bosque de noruega,13.0,40.3,,carolina vega,mascota119@vetlab.cl,control dental,40000.0,obeso,False,True,False,False,False,
120,max,perro,chihuahua,0.5,18.4,,diego leon,mascota120@vetlab.cl,control post-cirugia,80000.0,alto,False,False,False,True,False,
121,gala,gato,maine coon,8.0,2.7,,elena saavedra,mascota121@vetlab.cl,No_Info,40000.0,bajo,False,True,False,False,False,
122,pecas,gato,beagle,0.5,12.8,,pedro fuentes,mascota122@vetlab.cl,control de peso,35000.0,normal,False,True,False,False,False,
123,canela,perro,chihuahua,12.0,42.9,,nicolas torres,mascota123@vetlab.cl,control post-cirugia,40000.0,obeso,False,False,False,True,False,
124,moka,gato,persa,5.0,11.3,,ana rojas,mascota124@vetlab.cl,control cardiaco,18000.0,normal,False,True,False,False,False,
125,rex,perro,labrador,2.0,11.9,,sergio ortiz,mascota125@vetlab.cl,control rutinario,45000.0,normal,False,False,False,True,False,
126,luna,perro,rottweiler,-4.1,27.9,,alvaro castillo,mascota126@vetlab.cl,control dental,18000.0,alto,False,False,False,True,False,
127,rocco,perro,pastor aleman,9.0,31.0,,jorge pino,mascota127@vetlab.cl,control rutinario,40000.0,alto,False,False,False,True,False,
128,toby,gato,angora,1.0,31.8,,jorge pino,mascota128@vetlab.cl,control geriatrico,30000.0,alto,False,True,False,False,False,
129,bruno,perro,rottweiler,10.0,17.6,,carolina vega,mascota129@vetlab.cl,control cardiaco,50000.0,alto,False,False,False,True,False,
130,duna,gato,siames,6.0,43.3,,manuel soto,mascota130@vetlab.cl,control de peso,80000.0,obeso,False,True,False,False,False,
131,pecas,gato,maine coon,9.0,36.7,,valentina diaz,mascota131@vetlab.cl,control cardiaco,50000.0,alto,False,True,False,False,False,
132,pecas,gato,bosque de noruega,5.0,38.5,,manuel soto,mascota132@vetlab.cl,primera consulta,18000.0,alto,False,True,False,False,False,
133,No_Info,gato,bosque de noruega,9.0,30.6,,cristobal fuentes,mascota133@vetlab.cl,control de peso,35000.0,alto,False,True,False,False,False,
134,canela,perro,chihuahua,-2.8,36.2,,valentina diaz,mascota134@vetlab.cl,control de peso,35000.0,alto,False,False,False,True,False,
135,nube,gato,bengali,1.0,12.0,,ana rojas,mascota135@vetlab.cl,control cardiaco,40000.0,normal,False,True,False,False,False,
136,rex,gato,mestizo,11.0,22.9,,sebastian garrido,mascota136@vetlab.cl,control de peso,15000.0,alto,False,True,False,False,False,
137,max,perro,pastor aleman,10.0,26.8,,tomas munoz,mascota137@vetlab.cl,revision general,45000.0,alto,False,False,False,True,False,
138,nube,gato,sphynx,4.0,14.8,,nicolas torres,mascota138@vetlab.cl,esterilizacion,25000.0,normal,False,True,False,False,False,
139,canela,perro,poodle,3.0,10.9,,javiera soto,mascota139@vetlab.cl,control cardiaco,45000.0,normal,False,False,False,True,False,
140,yaki,perro,mestizo,4.0,11.4,,paula morales,mascota140@vetlab.cl,vacunacion,20000.0,normal,False,False,False,True,False,
141,pelusa,gato,siames,0.5,25.6,,pedro fuentes,mascota141@vetlab.cl,control dental,20000.0,alto,False,True,False,False,False,
142,milo,gato,persa,7.0,20.7,,jorge pino,mascota142@vetlab.cl,control dental,20000.0,alto,False,True,False,False,False,
143,moka,perro,pastor aleman,7.0,4.7,,javiera soto,mascota143@vetlab.cl,vacunacion,80000.0,normal,False,False,False,True,False,
144,sasha,perro,bulldog,1.0,44.7,,josefina ruiz,mascota144@vetlab.cl,primera consulta,-25000.0,obeso,False,False,False,True,False,
145,blanca,perro,angora,4.0,38.9,,tomas munoz,mascota145@vetlab.cl,control de peso,40000.0,alto,False,False,False,True,False,
146,beto,gato,siames,10.0,10.7,,antonia mella,mascota146@vetlab.cl,vacunacion,80000.0,normal,False,True,False,False,False,
147,rex,perro,bulldog,2.0,1.6,,valentina diaz,mascota147@vetlab.cl,control cardiaco,45000.0,bajo,False,False,False,True,False,
148,bruno,gato,bengali,11.0,38.9,,maria castro,mascota148.vetlab.cl,control dental,18000.0,alto,False,True,False,False,False,
149,chispa,perro,pastor aleman,1.0,25.2,,constanza vidal,mascota149@vetlab.cl,revision general,80000.0,alto,False,False,False,True,False,
150,sasha,perro,pastor aleman,12.0,14.9,,camila silva,mascota150@vetlab.cl,control rutinario,60000.0,normal,False,False,False,True,False,
151,maya,gato,bosque de noruega,4.0,23.3,,alvaro castillo,mascota151@vetlab.cl,control dental,45000.0,alto,False,True,False,False,False,
152,yaki,gato,persa,9.0,12.4,,luis perez,mascota152@vetlab.cl,control post-cirugia,18000.0,normal,False,True,False,False,False,
153,trueno,perro,mestizo,9.0,3.3,,jorge pino,mascota153@vetlab.cl,No_Info,20000.0,bajo,False,False,False,True,False,
154,tango,gato,mestizo,9.0,20.5,,elena saavedra,mascota154@vetlab.cl,control dental,45000.0,alto,False,True,False,False,False,
155,mishi,perro,chihuahua,10.0,6.1,,fernanda herrera,mascota155@vetlab.cl,esterilizacion,20000.0,normal,False,False,False,True,False,
156,bambu,gato,sphynx,13.0,34.6,,paula morales,mascota156.vetlab.cl,control geriatrico,15000.0,alto,False,True,False,False,False,
157,canela,gato,persa,12.0,19.1,,diego leon,mascota157@vetlab.cl,esterilizacion,50000.0,alto,False,True,False,False,False,
158,pelusa,perro,mestizo,3.0,24.1,,alvaro castillo,mascota158@vetlab.cl,control post-cirugia,60000.0,alto,False,False,False,True,False,
159,lola,gato,bosque de noruega,2.0,41.9,,sergio ortiz,mascota159@vetlab.cl,control dental,45000.0,obeso,False,True,False,False,False,
160,kiara,perro,persa,11.0,8.4,,felipe araya,mascota160@vetlab.cl,primera consulta,-15000.0,normal,False,False,False,True,False,
161,duna,perro,boxer,7.0,42.7,,camila silva,mascota161@vetlab.cl,No_Info,80000.0,obeso,False,False,False,True,False,
162,pepa,perro,chihuahua,13.0,22.5,,ignacio rios,mascota162@vetlab.cl,control dental,45000.0,alto,False,False,False,True,False,
163,nube,perro,chihuahua,9.0,23.6,,pedro fuentes,mascota163@vetlab.cl,control post-cirugia,20000.0,alto,False,False,False,True,False,
164,duna,perro,pastor aleman,13.0,1.6,,nicolas torres,mascota164.vetlab.cl,control cardiaco,30000.0,bajo,False,False,False,True,False,
165,tango,gato,maine coon,5.0,25.5,,martina lagos,mascota165@vetlab.cl,control de peso,50000.0,alto,False,True,False,False,False,
166,canela,gato,bosque de noruega,9.0,18.2,,renata avila,mascota166@vetlab.cl,revision general,40000.0,alto,False,True,False,False,False,
167,moka,perro,golden retriever,10.0,,,sebastian garrido,mascota167@vetlab.cl,control post-cirugia,80000.0,obeso,False,False,False,True,False,
168,bruno,perro,chihuahua,5.0,39.3,,pedro fuentes,mascota168@vetlab.cl,control cardiaco,45000.0,alto,False,False,False,True,False,
169,gala,perro,boxer,13.0,30.0,,ana rojas,mascota169@vetlab.cl,desparasitacion,20000.0,alto,False,False,False,True,False,
170,kira,perro,chihuahua,10.0,5.0,,nicolas torres,mascota170@vetlab.cl,primera consulta,35000.0,normal,False,False,False,True,False,
171,bambu,gato,domestico,9.0,4.5,,renata avila,mascota171@vetlab.cl,control cardiaco,80000.0,normal,False,True,False,False,False,
172,nina,gato,angora,11.0,39.5,,fernanda herrera,mascota172@vetlab.cl,vacunacion,45000.0,alto,False,True,False,False,False,
173,No_Info,perro,pastor aleman,4.0,17.1,,luis perez,mascota173@vetlab.cl,esterilizacion,40000.0,alto,False,False,False,True,False,
174,blanca,perro,poodle,2.0,9.1,,fernanda herrera,mascota174@vetlab.cl,primera consulta,60000.0,normal,False,False,False,True,False,
175,bambu,gato,angora,3.0,21.6,,elena saavedra,mascota175@vetlab.cl,primera consulta,30000.0,alto,False,True,False,False,False,
176,milo,gato,bengali,10.0,25.3,,matias contreras,mascota176@vetlab.cl,control de peso,-25000.0,alto,False,True,False,False,False,
177,chispa,gato,domestico,11.0,12.4,,paula morales,mascota177@vetlab.cl,control geriatrico,30000.0,normal,False,True,False,False,False,
178,moka,perro,husky,9.0,17.1,,No_Info,mascota178@vetlab.cl,revision general,30000.0,alto,False,False,False,True,False,
179,loki,gato,siames,13.0,31.3,,diego leon,mascota179@vetlab.cl,control rutinario,15000.0,alto,False,True,False,False,False,
180,max,gato,bengali,10.0,9.8,,isidora reyes,mascota180.vetlab.cl,esterilizacion,30000.0,normal,False,True,False,False,False,
181,rocco,perro,mestizo,0.5,14.9,,matias contreras,mascota181@vetlab.cl,control geriatrico,45000.0,normal,False,False,False,True,False,
182,choco,perro,rottweiler,4.0,15.7,,antonia mella,mascota182@vetlab.cl,desparasitacion,40000.0,alto,False,False,False,True,False,
183,pipo,perro,poodle,8.0,23.3,,josefina ruiz,mascota183@vetlab.cl,control cardiaco,30000.0,alto,False,False,False,True,False,
184,moka,perro,pastor aleman,12.0,6.5,,josefina ruiz,mascota184@vetlab.cl,control dental,18000.0,normal,False,False,False,True,False,
185,loki,perro,poodle,1.0,35.9,,renata avila,mascota185@vetlab.cl,control cardiaco,15000.0,alto,False,False,False,True,False,
186,maya,gato,mestizo,9.0,18.1,,alvaro castillo,mascota186@vetlab.cl,esterilizacion,80000.0,alto,False,True,False,False,False,
187,max,gato,persa,8.0,15.8,,daniela bravo,mascota187@vetlab.cl,control rutinario,60000.0,alto,False,True,False,False,False,
188,toby,perro,mestizo,10.0,19.3,,felipe araya,mascota188@vetlab.cl,control de peso,20000.0,alto,False,False,False,True,False,
189,boby,perro,labrador,3.0,40.1,,daniela bravo,mascota189@vetlab.cl,vacunacion,20000.0,obeso,False,False,False,True,False,
190,choco,gato,bosque de noruega,9.0,33.8,,constanza vidal,mascota190@vetlab.cl,control cardiaco,20000.0,alto,False,True,False,False,False,
191,bambu,gato,persa,0.5,31.5,,isidora reyes,mascota191@vetlab.cl,control post-cirugia,25000.0,alto,False,True,False,False,False,
192,rex,gato,bosque de noruega,10.0,17.5,,renata avila,mascota192@vetlab.cl,esterilizacion,80000.0,alto,False,True,False,False,False,
193,loki,gato,siames,13.0,37.4,,diego leon,mascota193@vetlab.cl,revision general,18000.0,alto,False,True,False,False,False,
194,yaki,perro,mestizo,3.0,44.5,,No_Info,mascota194@vetlab.cl,control rutinario,60000.0,obeso,False,False,False,True,False,
195,nube,perro,beagle,13.0,39.3,,sergio ortiz,mascota195@vetlab.cl,primera consulta,35000.0,alto,False,False,False,True,False,
196,milo,perro,rottweiler,8.0,12.4,,diego leon,mascota196@vetlab.cl,desparasitacion,20000.0,normal,False,False,False,True,False,
197,kiara,perro,mestizo,12.0,35.8,,pedro fuentes,mascota197@vetlab.cl,control rutinario,60000.0,alto,False,False,False,True,False,
198,simba,perro,siames,11.0,19.8,,diego leon,mascota198@vetlab.cl,control rutinario,18000.0,alto,False,False,False,True,False,
199,tango,perro,chihuahua,9.0,6.2,,cristobal fuentes,mascota199@vetlab.cl,esterilizacion,50000.0,normal,False,False,False,True,False,
200,bruno,perro,rottweiler,4.0,21.4,,antonia mella,mascota200@vetlab.cl,control geriatrico,15000.0,alto,False,False,False,True,False,
