id_mascota,nombre,especie,raza,edad_anos,peso_kg,fecha_consulta,dueno_nombre,dueno_email,motivo_consulta,costo_consulta
96,Nube,perro,Golden Retriever,11.0,8.2,2024-11-13,Matias Contreras,mascota096@vetlab.cl,Control post-cirugia,25000.0
97,Duna,perro,Bulldog,12.0,42.0,2024-06-19,Ana Rojas,mascota097@vetlab.cl,Desparasitacion,80000.0
98,Nala,perro,Pastor Aleman,13.0,3.2,2024-07-14,Josefina Ruiz,mascota098@vetlab.cl,Vacunacion,45000.0
99,Gala,perro,Poodle,3.0,2.5,2024-04-26,Carolina Vega,mascota099@vetlab.cl,Control dental,25000.0
100,Tita,gato,Domestico,5.0,29.4,2024-05-22,Renata Avila,mascota100@vetlab.cl,Vacunacion,40000.0
101,Maya,gato,Siames,9.0,43.4,2024-04-01,Matias Contreras,mascota101@vetlab.cl,Control dental,30000.0
102,Yaki,perro,Beagle,-0.6,27.9,2024-06-09,Fernanda Herrera,mascota102@vetlab.cl,Esterilizacion,50000.0
103,Trueno,perro,Husky,11.0,20.0,2024-01-23,Sergio Ortiz,mascota103@vetlab.cl,Control dental,50000.0
104,Pecas,perro,Golden Retriever,9.0,15.2,2024-06-18,Camila Silva,mascota104@vetlab.cl,Control geriatrico,-25000.0
105,Boby,Perro,mestizo,6.0,31.8,2024-06-16,Constanza Vidal,mascota105@vetlab.cl,Control post-cirugia,50000.0
106,Duna,perro,Poodle,9.0,26.3,2024-03-30,,mascota106@vetlab.cl,Control post-cirugia,40000.0
107,Pepa,perro,Pastor Aleman,9.0,30.0,2024-10-23,Sergio Ortiz,mascota107@vetlab.cl,Control post-cirugia,45000.0
108,Luna,gAta,Bosque de Noruega,10.0,5.2,2024-03-27,Ignacio Rios,mascota108.vetlab.cl,Control de peso,50000.0
109,,gato,Persa,12.0,10.2,2024-04-25,Constanza Vidal,mascota109@vetlab.cl,Control dental,15000.0
110,Moka,perro,Poodle,6.0,40.0,2024-08-21,Isidora Reyes,mascota110@vetlab.cl,Vacunacion,60000.0
111,Bambu,perro,Husky,10.0,31.4,2024-03-16,Tomas Munoz,mascota111@vetlab.cl,Revision general,18000.0
112,Simba,gato,Angora,0.5,25.7,2024-08-25,Josefina Ruiz,mascota112@vetlab.cl,Control cardiaco,18000.0
113,Gala,gato,Maine Coon,9.0,15.3,2024-10-13,Constanza Vidal,mascota113@vetlab.cl,Control cardiaco,45000.0
114,Tango,gato,Mestizo,7.0,12.8,2024-08-31,Matias Contreras,mascota114@vetlab.cl,Desparasitacion,25000.0
115,Bambu,gato,Mestizo,7.0,4.9,2024-05-20,Felipe Araya,mascota115@vetlab.cl,Revision general,30000.0
116,Oreo,perro,Pastor Aleman,2.0,8.1,2024-02-11,Nicolas Torres,mascota116@vetlab.cl,Control cardiaco,40000.0
117,Toby,perro,Poodle,8.0,21.8,2024-06-18,Fernanda Herrera,mascota117@vetlab.cl,Control post-cirugia,15000.0
118,Puma,perro,Husky,13.0,39.8,2024-01-11,Matias Contreras,mascota118@vetlab.cl,Primera consulta,60000.0
119,Milo,gato,Bosque de Noruega,13.0,40.3,2024-07-18,Carolina Vega,mascota119@vetlab.cl,Control dental,40000.0
120,Max,perro,Chihuahua,0.5,18.4,2024-09-05,Diego Leon,mascota120@vetlab.cl,Control post-cirugia,80000.0
121,Gala,gato,Maine Coon,8.0,2.7,2024-11-14,Elena Saavedra,mascota121@vetlab.cl,,40000.0
122,Pecas,gAta,beagle,0.5,12.8,2024-04-03,Pedro Fuentes,mascota122@vetlab.cl,Control de peso,35000.0
123,Canela,perro,Chihuahua,12.0,42.9,2024-05-22,Nicolas Torres,mascota123@vetlab.cl,Control post-cirugia,40000.0
124,Moka,gato,Persa,5.0,11.3,2024-01-27,Ana Rojas,mascota124@vetlab.cl,Control cardiaco,18000.0
125,Rex,perro,Labrador,2.0,11.9,2024-11-14,Sergio Ortiz,mascota125@vetlab.cl,Control rutinario,45000.0
126,Luna,perro,Rottweiler,-4.1,27.9,2024-07-07,Alvaro Castillo,mascota126@vetlab.cl,Control dental,18000.0
127,Rocco,perro,Pastor Aleman,9.0,31.0,2024-06-08,Jorge Pino,mascota127@vetlab.cl,Control rutinario,40000.0
128,Toby,gato,Angora,1.0,31.8,2024-05-04,Jorge Pino,mascota128@vetlab.cl,Control geriatrico,30000.0
129,Bruno,perro,Rottweiler,10.0,17.6,2024-08-07,Carolina Vega,mascota129@vetlab.cl,Control cardiaco,50000.0
130,Duna,gAta,Siames,6.0,43.3,2024-02-24,Manuel Soto,mascota130@vetlab.cl,Control de peso,80000.0
131,Pecas,gato,Maine Coon,9.0,36.7,2024-05-18,Valentina Diaz,mascota131@vetlab.cl,Control cardiaco,50000.0
132,Pecas,gato,Bosque de Noruega,5.0,38.5,2024-05-17,Manuel Soto,mascota132@vetlab.cl,Primera consulta,18000.0
133,,gato,Bosque de Noruega,9.0,30.6,2024-10-18,Cristobal Fuentes,mascota133@vetlab.cl,Control de peso,35000.0
134,Canela,perro,Chihuahua,-2.8,36.2,2024-04-18,Valentina Diaz,mascota134@vetlab.cl,Control de peso,35000.0
135,Nube,gato,Bengali,1.0,12.0,2024-04-07,Ana Rojas,mascota135@vetlab.cl,Control cardiaco,40000.0
136,Rex,gato,Mestizo,11.0,22.9,2024-11-26,Sebastian Garrido,mascota136@vetlab.cl,Control de peso,15000.0
137,Max,perro,Pastor Aleman,10.0,26.8,2024-06-05,Tomas Munoz,mascota137@vetlab.cl,Revision general,45000.0
138,Nube,gato,Sphynx,4.0,14.8,2024-08-20,Nicolas Torres,mascota138@vetlab.cl,Esterilizacion,25000.0
139,Canela,perro,Poodle,3.0,10.9,2024-04-04,Javiera Soto,mascota139@vetlab.cl,Control cardiaco,45000.0
140,Yaki,perro ,Mestizo,4.0,11.4,09/04/2024,Paula Morales,mascota140@vetlab.cl,Vacunacion,20000.0
141,Pelusa,GATO,Siames,0.5,25.6,2024-01-24,Pedro Fuentes,mascota141@vetlab.cl,Control dental,20000.0
142,Milo,gato,Persa,7.0,20.7,2024-08-28,Jorge Pino,mascota142@vetlab.cl,Control dental,20000.0
143,Moka,perro,Pastor Aleman,7.0,4.7,2024-07-24,Javiera Soto,mascota143@vetlab.cl,Vacunacion,80000.0
144,Sasha,perro,Bulldog,1.0,44.7,2024-06-04,Josefina Ruiz,mascota144@vetlab.cl,Primera consulta,-25000.0
145,Blanca,Perro,angora,4.0,38.9,2024-08-14,Tomas Munoz,mascota145@vetlab.cl,Control de peso,40000.0
146,Beto,gato,Siames,10.0,10.7,2024-04-16,Antonia Mella,mascota146@vetlab.cl,Vacunacion,80000.0
147,Rex,perro,Bulldog,2.0,1.6,2024-02-08,Valentina Diaz,mascota147@vetlab.cl,Control cardiaco,45000.0
148,Bruno,gato,Bengali,11.0,38.9,2024-05-24,Maria Castro,mascota148.vetlab.cl,Control dental,18000.0
149,Chispa,perro,Pastor Aleman,1.0,25.2,2024-08-05,Constanza Vidal,mascota149@vetlab.cl,Revision general,80000.0
150,Sasha,perro,Pastor Aleman,12.0,14.9,2024-03-25,Camila Silva,mascota150@vetlab.cl,Control rutinario,60000.0
151,Maya,gato,Bosque de Noruega,4.0,23.3,2024-07-25,Alvaro Castillo,mascota151@vetlab.cl,Control dental,45000.0
152,Yaki,gato,Persa,9.0,12.4,2024-06-14,Luis Perez,mascota152@vetlab.cl,Control post-cirugia,18000.0
153,Trueno,perro,Mestizo,9.0,3.3,2024-05-17,Jorge Pino,mascota153@vetlab.cl,,20000.0
154,Tango,gato,Mestizo,9.0,20.5,2024-04-02,Elena Saavedra,mascota154@vetlab.cl,Control dental,45000.0
155,Mishi,perro,Chihuahua,10.0,6.1,2024-06-13,Fernanda Herrera,mascota155@vetlab.cl,Esterilizacion,20000.0
156,Bambu,gato,Sphynx,13.0,34.6,2024-07-24,Paula Morales,mascota156.vetlab.cl,Control geriatrico,15000.0
157,Canela,gato,Persa,12.0,19.1,2024-02-29,Diego Leon,mascota157@vetlab.cl,Esterilizacion,50000.0
158,Pelusa,perro,Mestizo,3.0,24.1,2024-01-28,Alvaro Castillo,mascota158@vetlab.cl,Control post-cirugia,60000.0
159,Lola,gato,Bosque de Noruega,2.0,41.9,2024-10-08,Sergio Ortiz,mascota159@vetlab.cl,Control dental,45000.0
160,Kiara,perro ,Persa,11.0,8.4,2024-05-02,Felipe Araya,mascota160@vetlab.cl,Primera consulta,-15000.0
161,Duna,perro,Boxer,7.0,42.7,2024-02-28,Camila Silva,mascota161@vetlab.cl,,80000.0
162,Pepa,perro,Chihuahua,13.0,22.5,2024-07-31,Ignacio Rios,mascota162@vetlab.cl,Control dental,45000.0
163,Nube,perro,Chihuahua,9.0,23.6,2024-04-07,Pedro Fuentes,mascota163@vetlab.cl,Control post-cirugia,20000.0
164,Duna,perro,Pastor Aleman,13.0,1.6,2024-05-16,Nicolas Torres,mascota164.vetlab.cl,Control cardiaco,30000.0
165,Tango,gato,Maine Coon,5.0,25.5,2024-06-25,Martina Lagos,mascota165@vetlab.cl,Control de peso,50000.0
166,Canela,gato,Bosque de Noruega,9.0,18.2,2024-05-02,Renata Avila,mascota166@vetlab.cl,Revision general,40000.0
167,Moka,perro,Golden Retriever,10.0,N/A,2024-07-16,Sebastian Garrido,mascota167@vetlab.cl,Control post-cirugia,80000.0
168,Bruno,perro,Chihuahua,5.0,39.3,2024-10-29,Pedro Fuentes,mascota168@vetlab.cl,Control cardiaco,45000.0
169,Gala,perro,Boxer,13.0,30.0,2024-07-28,Ana Rojas,mascota169@vetlab.cl,Desparasitacion,20000.0
170,Kira,perro,Chihuahua,10.0,5.0,2024-07-22,Nicolas Torres,mascota170@vetlab.cl,Primera consulta,35000.0
171,Bambu,gato,Domestico,9.0,4.5,2024-01-19,Renata Avila,mascota171@vetlab.cl,Control cardiaco,80000.0
172,Nina,gato,Angora,11.0,39.5,2024-11-20,Fernanda Herrera,mascota172@vetlab.cl,Vacunacion,45000.0
173,,perro,Pastor Aleman,4.0,17.1,2024-01-29,Luis Perez,mascota173@vetlab.cl,Esterilizacion,40000.0
174,Blanca,perro ,Poodle,2.0,9.1,2024-04-02,Fernanda Herrera,mascota174@vetlab.cl,Primera consulta,60000.0
175,Bambu,gato,Angora,3.0,21.6,2024-03-14,Elena Saavedra,mascota175@vetlab.cl,Primera consulta,30000.0
176,Milo,gato,Bengali,10.0,25.3,2024-05-27,Matias Contreras,mascota176@vetlab.cl,Control de peso,-25000.0
177,Chispa,gato,Domestico,11.0,12.4,2024-08-05,Paula Morales,mascota177@vetlab.cl,Control geriatrico,30000.0
178,Moka,perro,Husky,9.0,17.1,2024-07-14,,mascota178@vetlab.cl,Revision general,30000.0
179,Loki,gato,Siames,13.0,31.3,15-2024-07,Diego Leon,mascota179@vetlab.cl,Control rutinario,15000.0
180,Max,gato,Bengali,10.0,9.8,2024-04-22,Isidora Reyes,mascota180.vetlab.cl,Esterilizacion,30000.0
181,Rocco,perro,Mestizo,0.5,14.9,2024-11-26,Matias Contreras,mascota181@vetlab.cl,Control geriatrico,45000.0
182,Choco,perro,Rottweiler,4.0,15.7,2024-02-16,Antonia Mella,mascota182@vetlab.cl,Desparasitacion,40000.0
183,Pipo,perro,Poodle,8.0,23.3,2024-07-06,Josefina Ruiz,mascota183@vetlab.cl,Control cardiaco,30000.0
184,Moka,perro,Pastor Aleman,12.0,6.5,2024-06-22,Josefina Ruiz,mascota184@vetlab.cl,Control dental,18000.0
185,Loki,perro,Poodle,1.0,35.9,2024-07-06,Renata Avila,mascota185@vetlab.cl,Control cardiaco,15000.0
186,Maya,gato,Mestizo,9.0,18.1,2024-05-14,Alvaro Castillo,mascota186@vetlab.cl,Esterilizacion,80000.0
187,Max,gato,Persa,8.0,15.8,2024-11-13,Daniela Bravo,mascota187@vetlab.cl,Control rutinario,60000.0
188,Toby,perro,Mestizo,10.0,19.3,2024-06-03,Felipe Araya,mascota188@vetlab.cl,Control de peso,20000.0
189,Boby,perro,Labrador,3.0,40.1,2024-02-19,Daniela Bravo,mascota189@vetlab.cl,Vacunacion,20000.0
190,Choco,gato,Bosque de Noruega,9.0,33.8,2024-08-02,Constanza Vidal,mascota190@vetlab.cl,Control cardiaco,20000.0
191,Bambu,gato,Persa,0.5,31.5,2024-05-23,Isidora Reyes,mascota191@vetlab.cl,Control post-cirugia,25000.0
192,Rex,gato,Bosque de Noruega,10.0,17.5,2024-02-20,Renata Avila,mascota192@vetlab.cl,Esterilizacion,80000.0
193,Loki,GATO,Siames,13.0,37.4,2024-03-03,Diego Leon,mascota193@vetlab.cl,Revision general,18000.0
194,Yaki,perro,Mestizo,3.0,44.5,2024-06-19,,mascota194@vetlab.cl,Control rutinario,60000.0
195,Nube,perro,Beagle,13.0,39.3,2024-04-20,Sergio Ortiz,mascota195@vetlab.cl,Primera consulta,35000.0
196,Milo,perro,Rottweiler,8.0,12.4,2024-03-07,Diego Leon,mascota196@vetlab.cl,Desparasitacion,20000.0
197,Kiara,Perro,Mestizo,12.0,35.8,02/07/2024,Pedro Fuentes,mascota197@vetlab.cl,Control rutinario,60000.0
198,Simba,perro ,Siames,11.0,19.8,2024-03-05,Diego Leon,mascota198@vetlab.cl,Control rutinario,18000.0
199,Tango,perro,Chihuahua,9.0,6.2,2024-09-19,Cristobal Fuentes,mascota199@vetlab.cl,Esterilizacion,50000.0
200,Bruno,perro,Rottweiler,4.0,21.4,2024-09-23,Antonia Mella,mascota200@vetlab.cl,Control geriatrico,15000.0
